match_id,season,date,match_week,kick_off_time,stadium,attendance,referee,weather,temperature_c,humidity_pct,match_importance,home_team,away_team,home_manager,away_manager,home_formation,away_formation,home_strategy_embedding,away_strategy_embedding,home_player_performance,away_player_performance,home_goals_ht,away_goals_ht,home_goals_ft,away_goals_ft,home_goal_timestamps,away_goal_timestamps,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shot_accuracy_pct,away_shot_accuracy_pct,home_xg,away_xg,home_xg_diff,away_xg_diff,home_possession_pct,away_possession_pct,home_passes,away_passes,home_pass_accuracy_pct,away_pass_accuracy_pct,home_long_balls,away_long_balls,home_corners,away_corners,home_corner_goals,away_corner_goals,home_freekicks,away_freekicks,home_freekick_goals,away_freekick_goals,home_penalties_awarded,away_penalties_awarded,home_penalty_goals,away_penalty_goals,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_offsides,away_offsides,home_saves,away_saves,home_goals_conceded,away_goals_conceded,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_blocks,away_blocks,home_aerial_duels_won,away_aerial_duels_won,home_crosses,away_crosses,home_cross_accuracy_pct,away_cross_accuracy_pct,home_dribbles_attempted,away_dribbles_attempted,home_dribble_success_pct,away_dribble_success_pct,home_distance_covered_km,away_distance_covered_km,home_sprints,away_sprints,ht_injury_time_min,ft_injury_time_min,var_decisions,var_decisions_overturned,betting_odds_home_win,betting_odds_draw,betting_odds_away_win,result,home_points_earned,away_points_earned
918,2021-22,2021-12-03,31,16:30,City Ground,27643,Anthony Taylor,Sunny,16.8,57,Top 4 battle,Nottm Forest,Luton Town,Nuno Espirito Santo,Rob Edwards,4-2-3-1,3-5-2,defense,defense,average,,0,3,1,4,23,,8,12,2,4,,33.3,1.01,3.93,-0.01,0.07,62.1,?,352,395,79.8,72.3,24,74,10,9,1,0,14,7,0,0,0,0,0,,16,17,1,0,0,1,5,3,0,1,4,1,11,26,16,7,17,19,9,4,14,5,21,17,27.1,18.2,16,4,71.2,54.2,107.8,106.9,247,167,2,1,2,1,2.77,3.92,2.6,A,0,3
1702,2023-24,2023-12-16,14,15:00,Molineux Stadium,29406,Simon Hooper,Light Rain,7.3,67,Derby,Wolves,Arsenal,Gary O'Neil,Mikel Arteta,4-3-2-1,4-3-3,defense,attack,average,bad,0,1,3,2,9;31;77,,13,16,10,5,76.9,31.2,4.05,1.65,-1.05,0.35,38.7,61.3,302,647,-,87.7,75,63,5,9,2,0,20,17,0,0,1,1,1,1,11,14,0,0,0,0,N/A,5,3,7,2,3,12,16,18,16,34,20,6,2,20,5,7,5,21.6,23.8,19,11,52.7,45.7,114.0,109.1,278,281,2,,0,0,3.71,,2.24,H,3,0
1228,2022-23,2022-10-05,9,12:30,Old Trafford,,John Brooks,Windy,31.9,60,League,Manchester United,Wolves,Erik ten Hag,Gary O'Neil,4-3-2-1,4-3-3,balanced,defense,bad,,1,1,,1,16;43;54+3;76,44,19,7,10,6,52.6,85.7,5.19,1.08,?,-0.08,49.1,50.9,586,313,88.5,76.4,42,45,11,5,2,0,19,17,0,0,0,0,0,0,12,7,2,2,0,0,6,5,5,6,1,4,21,18,14,15,20,26,11,5,7,16,22,,28.7,42.0,19,10,69.1,52.0,103.5,106.6,205,280,3,2,0,0,2.74,3.86,2.66,H,,0
722,2020-21,2021-05-14,2,17:30,Tottenham Hotspur Stadium,55025,Michael Oliver,Windy,-0.0,76,League,Tottenham,Nottm Forest,,Nuno Espirito Santo,5-4-1,4-3-3,,defense,bad,bad,0,0,2,1,56;82+5,28,14,9,9,8,64.3,88.9,2.09,1.0,-0.09,0.0,57.8,42.2,614,537,82.2,76.9,66,49,3,7,2,0,20,13,0,0,1,0,0,0,11,6,2,2,0,0,4,0,7,7,,2,13,28,6,,40,12,6,10,7,15,17,12,37.2,18.2,15,13,69.0,51.9,110.1,109.4,224,,1,2,1,0,1.92,4.53,3.86,H,3,0
989,2021-22,2022-01-22,7,14:05,Goodison Park,37144,Andy Madley,Clear,7.7,63,League,Everton,Chelsea,Sean Dyche,Mauricio Pochettino,4-4-2,4-3-2-1,defense,balanced,good,average,1,2,2,2,67;72,21;87,,16,3,3,21.4,18.8,1.38,2.91,0.62,-0.91,44.0,56.0,538,324,81.7,86.8,47,49,4,7,1,2,13,18,0,0,0,0,0,0,14,20,0,0,0,0,1,2,1,1,2,2,21,26,18,,18,17,5,2,5,12,24,20,18.5,,13,18,56.9,48.7,107.9,103.2,204,271,1,4,2,0,2.73,5.75,2.17,D,1,1
50,2019-20,2019-09-13,36,14:05,Gtech Community Stadium,17038,Jarred Gillett,Windy,5.0,40,League,Brentford,Bournemouth,,Andoni Iraola,4-1-4-1,4-4-2,attack,attack,poor,good,3,3,3,3,36;46;70+3,25;47;78,18,17,4,4,22.2,23.5,3.28,3.08,-0.28,-0.08,58.7,41.3,,565,82.7,78.8,74,51,7,5,2,2,12,16,1,1,0,0,0,0,7,10,1,1,0,0,1,5,1,1,3,3,17,21,18,9,14,21,5,2,16,15,10,6,38.7,31.8,14,16,44.7,65.9,106.9,112.8,214,171,2,0,2,1,2.39,4.32,2.85,D,1,1
1510,2022-23,2023-04-27,36,16:30,Turf Moor,17338,Paul Tierney,Cloudy,22.3,83,Relegation 6-pointer,Burnley,Aston Villa,Vincent Kompany,Unai Emery,4-3-3,4-2-3-1,defense,attack,good,bad,1,2,2,,3;32,21+3;26;70,17,,5,3,29.4,50.0,-,3.4,0.65,N/A,36.0,64.0,323,,75.4,87.9,27,36,7,2,1,2,18,16,0,0,1,1,1,1,13,11,2,2,0,0,1,1,0,3,3,2,10,23,16,12,21,25,2,10,12,19,15,21,17.4,36.2,9,4,62.7,50.1,107.1,104.3,,N/A,,3,1,1,3.37,2.97,2.73,A,0,3
1616,2023-24,2023-10-15,34,15:00,Emirates Stadium,47378,Simon Hooper,Rainy,11.2,62,League,Arsenal,West Ham,Mikel Arteta,David Moyes,4-3-2-1,4-3-2-1,attack,,good,good,1,0,3,0,1;42;48,none,15,10,5,5,33.3,50.0,3.59,0.1,-0.59,-0.1,54.1,45.9,371,,86.2,83.9,26,60,3,4,0,0,8,7,2,0,1,0,N/A,0,15,17,1,0,0,0,4,5,5,2,0,3,12,26,7,8,19,15,5,8,15,20,13,21,38.8x,34.7,13,8,63.7,67.1,106.6,111.5,221,146,4,4,3,0,2.73,3.78,2.71,H,3,0
1008,2021-22,2022-02-05,25,17:30,Craven Cottage,nan,David Coote,,12.0,57,League,Fulham,Brentford,Marco Silva,Thomas Frank,4-4-2,4-3-2-1,balanced,attack,average,avg,0,1,2,1,51;56,57,13,10,10,6,76.9,60.0,2.08,0.89,-0.08,0.11,42.3,57.7,641,336,85.9,82.2,43,52,4,6,2,,,19,0,0,0,0,0,,8,11,2,1,0,0,0,4,5,8,1,nan,20,12,10,16,13,34,12,8,15,12,7,8,19.0,25.4,5,12,48.0,57.8,101.8,107.7,236,165,3,3,3,1,2.86,4.49,2.34,H,3,0
1183,2022-23,2022-08-31,23,17:30,Amex Stadium,27428,Chris Kavanagh,Foggy,11.3,42,Cup,Brighton,Arsenal,Roberto De Zerbi,Mikel Arteta,4-2-3-1,4-3-2-1,balanced,attack,,average,0,0,0,2,none,27;49,9,17,,8,100.0,47.1,0.1,1.82,-0.1,0.18,51.2,48.8,,513,79.5,83.8,76,69,5,3,0,1,6,19,0,0,0,0,0,0,14,7,0,0,0,0,4,0,6,9,2,0,23,22,,17,24,26,7,4,9,15,22,18,19.9,35.3,7,5,50.4,43.6,109.9,109.2,257,168,1,2,0,0,3.1,2.91,2.99,A,0,3
90,2019-20,2019-10-13,19,20:00,Kenilworth Road,10056x,Anthony Taylor,Rainy,12.9,70,Relegation 6-pointer,Luton Town,Liverpool,Rob Edwards,Jurgen Klopp,5-4-1,4-3-2-1,defense,attack,good,good,0,0,3,5,14;51;52,13;16;26;57+1;59,14,15,6,5,42.9,33.3,2.28,4.14,0.72,0.86,38.6,61.4,544,284,76.4,90.8,68,58,10,6,0,2,21,12,0,0,0,0,0,0,6,19,3,3,0,0,0,5,0,3,5,3,12,11,10,18,13,25,5,4,9,15,16,4,28.7,32.2,20,5,60.3,50.9,##,?,255,224,2,1,0,0,3.02,5.93,2.0,A,0,3
905,2021-22,2021-11-22,33,17:30,London Stadium,47305,David Coote,,18.1,78,League,West Ham,Luton Town,David Moyes,Rob Edwards,4-4-2,4-3-3,defense,defense,good,bad,0,1,1,1,49,42+5,14,16,6,1,42.9,6.2,,1.43,0.0,-0.43,52.1,47.9,581,550,86.4,,42,,3,3,1,1,22,,0,0,1,0,0,0,10,16,2,4,,0,0,5,0,5,1,1,22,11,9,17,,28,6,7,20,5,14,21,,30.7,13,12,51.7,40.7,,104.9,174,277,2,2,0,0,2.59,3.05,3.49,D,1,1
96,2019-20,2019-10-17,22,12:30,London Stadium,59531,John Brooks,Sunny,6.4,63x,League,West Ham,Wolves,David Moyes,Gary O'Neil,4-2-3-1,4-4-2,defense,defense,good,bad,1,,3,3,8;50+5;53,12;21;64,17,10,,3,52.9,30.0,3.2,3.46,?,-0.46,56.8,43.2,652,514,82.1,82.2,36,34,10,9,1,2,9,7,0,0,0,0,0,0,9,12,2,4,0,0,5,5,0,6,3,3,13,11,13,6,?,20,9,-3,17,19,21,8,34.1,25.3,5,,64.5,42.2,101.2,109.7,172,290,2,1,1,0,2.13,5.48,2.87,D,1,1
1245,2022-23,2022-10-18,33,14:05,Goodison Park,,Michael Oliver,Foggy,10.8,47,Cup,Everton,Manchester United,Sean Dyche,Erik ten Hag,4-1-4-1,3-4-3,defense,balanced,good,,2,0,2,1,70;73,37+3,20,15,4,1,20.0,6.7,1.53,0.78,0.47,0.22,38.7,61.3,421,413,83.8,null,45,22,10,3,0,1,9,17,1,0,0,0,0,0,8,20,1,1,1,0,1,1,0,2,1,2,21,22,16,12,15,12,3,,13,8,10,16,26.9,35.5,16,16,69.2,68.7,109.4,109.6,256,197,3,3,,1,null,3.51,2.59,H,3,
209,2019-20,2020-01-01,8,17:30,Etihad Stadium,42633,Robert Jones,Light Rain,,66,League,Manchester City,Everton,Pep Guardiola,Sean Dyche,4-4-2,3-5-2,balanced,defense,good,average,3,0,4,0,nan,none,12,14,,,75.0,7.1,5.16,0.1,-1.16,-0.1,61.4,38.6,526,637,87.6,80.5,51,37,9,9,0,0,,13,0,0,0,0,0,0,15,N/A,4,2,0,0,2,4,1,5,0,4,15,10,6,12,25,18,7,10,14,7,17,10,36.3,28.8,20,4,63.6,68.8,113.8,113.1,248,266,5,3,2,,1.83,6.14,3.45,H,,0
1923,2021-22,2021-12-15,21,19:45,City Ground,23297,Robert Jones,Rainy,nan,76,Relegation 6-pointer,Nottm Forest,Bournemouth,Nuno Espirito Santo,Andoni Iraola,5-4-1,4-3-3,defense,attack,good,good,0,1,4,3,8;50;55;64,3+2;3;25,9,16,6,7,66.7,43.8,4.37,2.47,-0.37,0.53,47.7,52.3x,643,527,82.3,76.6,66,32,11,2,1,1,18,19,0,1,1,0,1,0,9,6,3,3,0,0,,2,4,2,3,4,27,28,12,7,38,17,8,7,12,16,7,7,35.5,29.4,19,nan,49.7,67.2,112.4,108.6,177,151,3,5,2,1,2.73,3.68,2.76,H,3,0
950,2021-22,2021-12-24,33,12:30,Gtech Community Stadium,17191,Michael Oliver,Cloudy,23.5,61,League,Brentford,Nottm Forest,,Nuno Espirito Santo,,5-4-1,attack,defense,good,average,2,0,3,0,42;55;76,none,20,15,3,1,15.0,6.7,3.34,0.36,-0.34,N/A,,45.6x,474,,,81.7,50,69,3,7,0,0,7,9,0.0,0,0,0,0,0,13,19,2,1,0,0,2,1,1,0,0,3,18,12,17,7,31,8,11,3,25,7,16,16,44.9,36.0,20,17,70.8,49.9,107.0,106.3,240,207,0,3,3,0,2.34,5.26,2.62,H,3,0
1791,2023-24,2024-02-17,1,16:30,Amex Stadium,29521,John Brooks,Windy,11.1,63,Title race,Brighton,Aston Villa,Roberto De Zerbi,Unai Emery,4-2-3-1,3-4-3,balanced,attack,bad,bad,0,1,1,,86,39,10,16,4,8,40.0,50.0,1.57,0.72,,,49.3,50.7,432,454,83.2,84.9,49,56,4,5,0,0,19,19,,0,0,0,0,0,14,18,2,1,0,0,0,0,7,3,1,1,23,20,20,17,30,33,2,7,-24,22,11,21,15.2,28.3,15,4,42.5,49.8,103.6,108.3,228,283,0,2,2,1,3.04,3.32,2.7,D,1,1
1403,2022-23,2023-02-09,22,17:30,Old Trafford,68931,,Foggy,13.3,79,League,Manchester United,Crystal Palace,Erik ten Hag,Oliver Glasner,3-4-3,,balanced,defense,,bad,2,0,4,1,36;36;47;68+2,83,20,8,3,4,15.0,50.0,3.6,0.89,0.4,0.11,48.5,51.5,604,286,81.6,75.4,29,51,5,3,0,1,11,7,1,0,1,0,1,0,6,19,0,3,0,0,3,1,3,0,1,4,25,18,12,11,29,21,5,4,21,13,11,10,40.0,22.6,18,10,68.5,54.0,113.7,110.1,233,174,3,3,3,0,1.97,9.29,2.6,H,3,0
2049,2021-22,2021-12-26,22,16:30,Anfield,54551,Simon Hooper,Light Rain,5.7,,Relegation 6-pointer,Liverpool,Burnley,Jurgen Klopp,Vincent Kompany,4-3-2-1,4-4-2,attack,defense,bad,bad,1,1,3,1,64;78;89,69,12,14,2,5,16.7,35.7,3.82,0.74,-0.82,0.26,63.6,36.4,316,517,84.5,73.8,40,35,2,3,1,1,6,9,0,0,2,0,1,0,10,6,1,3,0,0,1,4,4,0,1,3,15,18,12,18,,12,11,6,15,11,N/A,,44.1,20.7x,19,11,73.4,,113.6,108.7,183,174,2,1,1,1,2.17,3.1,4.62,H,,0
231,2019-20,2020-01-17,36,12:30,Etihad Stadium,52267,Chris Kavanagh,Windy,22.8,,League,Manchester City,Chelsea,Pep Guardiola,Mauricio Pochettino,3-4-3,3-5-2,balanced,balanced,average,good,,1,2,2,56;61,9;70,,13,10,3,76.9,23.1,2.28,2.62,-0.28,-0.62,53.8%,46.2,514,254,87.4,83.1,71,57,5,6,2,0,12,16,0,0,0,0,0,0,15,19,3,0,0,0,4,4,1,8,2,2,16,11,13,15,13,10,3,7,12,22,19,13,20.9,32.7,11,13,68.2,55.2,109.8,103.2,282,230,2,5,2,0,2.4,3.86,3.09,D,,1
540,2020-21,2021-01-03,37,12:30,Bramall Lane,25025,Paul Tierney,Light Rain,22.8,71,Cup,Sheffield United,Brighton,Chris Wilder,Roberto De Zerbi,3-5-2,4-4-2,defense,bal,bad,average,0,0,2,1,1;80,20,15,7,5,3,33.3,42.9,2.33,0.85,-0.33,0.15,32.2,67.8,423,422,75.5,82.5,67,39,-3,5,0,1,18,,0,1,1,0,1,0,7,11,2,2,0,0,4,5,2,3,1,2,17,21,8,11,38,,2,6,21,17,19,7,35.3,18.3,15,14,52.6,66.2,106.3,103.0,286,267,2,0,1,0,3.3,3.03,2.73,H,3,0
1202,2022-23,2022-09-19,28,19:45,Tottenham Hotspur Stadium,54485,Anthony Taylor,Rainy,17.7,45,Title race,Tottenham,Brighton,Ange Postecoglou,Roberto De Zerbi,,4-4-2,attack,balanced,bad,average,2,0,2,1,28;81,45,11,13,,7,54.5,53.8,1.73,1.26,0.27,-0.26,51.5,48.5,663,314,87.5,,72,36,5,,1,1,12,17,1,0,0,0,0,0,19,7,2,0,0,0,3,2,6,4,1,2,27,11,9,5,40,34,2,4,25,19,19,15,36.1,18.4,10,8,73.2,49.5,-,107.7,249,256,5,6,3,1,2.68,4.09,,H,3,0
679,2020-21,2021-04-10,4,20:00,Tottenham Hotspur Stadium,56987,Robert Jones,Overcast,12.5,40,League,Tottenham,Burnley,Ange Postecoglou,Vincent Kompany,4-3-3,4-4-2,attack,defense,bad,average,0,0,2,1,23;73,81,15,16,10,,66.7,31.2,2.37,1.06,-0.37,-0.06,71.6,28.4,471,576,82.5,78.1,64,22,9,5,2,0,14,13,1,0,0,1,0,1,20,16,2,1,0,0,4,4,4,8,1,2,16,28,16,8,30,34,4,2,24,15,18,19,21.8,19.1,16,18,67.6,45.1,110.1,108.1,224,234,2,3,2,1,2.04,3.84,4.0,H,3,0
327,2019-20,2020-03-24,27,17:30,Anfield,49807,Jarred Gillett,Windy,-1.4,79,Derby,Liverpool,Fulham,Jurgen Klopp,Marco Silva,4-1-4-1,5-4-1,attack,,good,bad,1,1,2,1,62;88,6,20,6,8,1,40.0,16.7,2.16,0.82,-0.16,0.18,54.1%,45.9,539,323,93.8,79.4,54,19,6,1,2,0,15,14,0,0,0,0,0,0,8,15,1,1,0,0,1,5,0,6,1,2,,11,19,12,40,15,10,7,14,14,17,17,43.5,33.1,14,18,47.4,50.4,107.0,107.8,188,203,1,2,3,2,2.69,2.84,3.62,H,3,0
1317,2022-23,2022-12-10,24,19:45,Tottenham Hotspur Stadium,49747,Paul Tierney,Overcast,14.4,65,League,Tottenham,Newcastle,Ange Postecoglou,Eddie Howe,4-3-3,4-3-3,attack,defense,average,average,,1,0,2,none,75;79,10,14,2,6,20.0,##,0.39,1.87,-0.39,0.13,44.1,55.9,395,378,83.4,83.1,71,47,6,,0,1,11,14,0,1,0,2,0,1,6,20,1,1,1,0,4,0,4,2,2,0,19,25,7,10,26,11,5,10,22,11,18,6,27.6,42.8,15,15,40.6,69.8,N/A,109.4,288,198,1,1,0,0,2.26,4.34,3.06,A,0,3
720,2020-21,2021-05-08,2,17:30,Old Trafford,72574,Thomas Bramall,Windy,13.5,80,League,Manchester United,Bournemouth,Erik ten Hag,Andoni Iraola,4-2-3-1,5-4-1,balanced,attack,good,bad,3,nan,3,,8;22;60,47,17,12,6,4,35.3,33.3,3.74,,-0.74,0.01,54.6,45.4,503,539,84.9,74.5,20,,8,9,2,1,18,12,1,,,0,0,0,15,7,1,1,nan,0,0,0,3,3,1,3,19,17,11,13,19,36,12,2,9,12,16,17,42.9,21.3,16,15,50.6,51.6,102.3,,155,250,2,3,1,1,2.49,4.03,2.85,H,3,0
1038,2021-22,2022-02-22,24,15:00,Emirates Stadium,53351,Paul Tierney,Windy,13.3,66,Relegation 6-pointer,Arsenal,Liverpool,Mikel Arteta,Jurgen Klopp,4-3-3,4-2-3-1,attack,attack,average,poor,2,0,2,0,11;51,none,14,6,-3,3,50.0,50.0,1.74,0.11,0.26,-0.11,48.8,51.2,497,,87.5,87.2,32,29,11,6,2,0,15,12,0,0,,0,0,0,18,20,3,0,0,0,0,-2,3,5,0,2,27,27,20,11,35,?,9,3,10,12,20,17,15.2,22.9,20,18,50.5,63.5,104.8,110.2,163,142,1,6,0,0,2.36,3.78,3.21,H,3,0
1148,2022-23,2022-08-12,25,16:30,Kenilworth Road,9020,John Brooks,Overcast,19.3,86,League,Luton Town,Burnley,Rob Edwards,Vincent Kompany,4-3-2-1,4-1-4-1,def,defense,bad,AVERAGE,1,1,3,3,,27;43;63,9,9,6.0,4,66.7,44.4,,3.31,0.69,-0.31,55.2,44.8,487,632,78.9,69.9,57,54,6,7,1,1,18,9,0,0,,1,0,1,8,10,2,0,0,0,5,4,1,3,3,3,19,24,9,16,17,27,5,3,22,22,21,19,24.3,25.9,12,7,57.0,60.0,110.1,114.1,244,284,1,2,1,1,2.54,4.02,2.8,D,1,1
871,2021-22,2021-10-27,11,20:00,Bramall Lane,29778,Simon Hooper,Light Rain,13.0,50,League,Sheffield United,Everton,Chris Wilder,Sean Dyche,4-4-2,4-3-3,defense,defense,good,average,0,0,0,?,none,none,,11,5,8,62.5,72.7,0.1,0.1,-0.1,,36.1,63.9x,617,,78.2,82.4,21,41,11,7,0,0,6,15,0,0,0,0,0,0,14,14,2,2,nan,0,1,1,8,5,0,0,20,10,17,15,40,15,nan,2,22,17,9,19,21.3,29.1,8,12,63.8,58.7,103.6,107.7,287,188,1,4,1,0,2.86,4.2,2.43,D,1,1
